# Sr.No.    k (1/nm)             Energy(eV) 
  230         1.400000e+00         5.404890e-01   
  231         1.410000e+00         5.460804e-01   
  232         1.420000e+00         5.516741e-01   
  233         1.430000e+00         5.572697e-01   
  234         1.440000e+00         5.628672e-01   
  235         1.450000e+00         5.684661e-01   
  236         1.460000e+00         5.740662e-01   
  237         1.470000e+00         5.796674e-01   
  238         1.480000e+00         5.852693e-01   
  239         1.490000e+00         5.908716e-01   
  240         1.500000e+00         5.964743e-01   
  241         1.510000e+00         6.020770e-01   
  242         1.520000e+00         6.076795e-01   
  243         1.530000e+00         6.132817e-01   
  244         1.540000e+00         6.188832e-01   
  245         1.550000e+00         6.244838e-01   
  246         1.560000e+00         6.300835e-01   
  247         1.570000e+00         6.356818e-01   
  248         1.580000e+00         6.412788e-01   
  249         1.590000e+00         6.468741e-01   
  250         1.600000e+00         6.524675e-01   
  251         1.610000e+00         6.580590e-01   
  252         1.620000e+00         6.636482e-01   
  253         1.630000e+00         6.692351e-01   
  254         1.640000e+00         6.748194e-01   
  255         1.650000e+00         6.804009e-01   
  256         1.660000e+00         6.859796e-01   
  257         1.670000e+00         6.915551e-01   
  258         1.680000e+00         6.971275e-01   
  259         1.690000e+00         7.026965e-01   
  260         1.700000e+00         7.082619e-01   
  261         1.710000e+00         7.138236e-01   
  262         1.720000e+00         7.193815e-01   
  263         1.730000e+00         7.249354e-01   
  264         1.740000e+00         7.304852e-01   
  265         1.750000e+00         7.360307e-01   
  266         1.760000e+00         7.415719e-01   
  267         1.770000e+00         7.471085e-01   
  268         1.780000e+00         7.526405e-01   
  269         1.790000e+00         7.581677e-01   
  270         1.800000e+00         7.636900e-01   
  271         1.810000e+00         7.692074e-01   
  272         1.820000e+00         7.747196e-01   
  273         1.830000e+00         7.802265e-01   
  274         1.840000e+00         7.857282e-01   
  275         1.850000e+00         7.912244e-01   
  276         1.860000e+00         7.967150e-01   
  277         1.870000e+00         8.022001e-01   
  278         1.880000e+00         8.076794e-01   
  279         1.890000e+00         8.131528e-01   
  280         1.900000e+00         8.186204e-01   
  281         1.910000e+00         8.240820e-01   
  282         1.920000e+00         8.295375e-01   
  283         1.930000e+00         8.349868e-01   
  284         1.940000e+00         8.404299e-01   
  285         1.950000e+00         8.458667e-01   
  286         1.960000e+00         8.512971e-01   
  287         1.970000e+00         8.567210e-01   
  288         1.980000e+00         8.621385e-01   
  289         1.990000e+00         8.675493e-01   
  290         2.000000e+00         8.729535e-01   
  291         2.010000e+00         8.783510e-01   
  292         2.020000e+00         8.837418e-01   
  293         2.030000e+00         8.891257e-01   
  294         2.040000e+00         8.945027e-01   
  295         2.050000e+00         8.998729e-01   
  296         2.060000e+00         9.052361e-01   
  297         2.070000e+00         9.105922e-01   
  298         2.080000e+00         9.159414e-01   
  299         2.090000e+00         9.212834e-01   
  300         2.100000e+00         9.266183e-01   
  301         2.110000e+00         9.319461e-01   
  302         2.120000e+00         9.372667e-01   
  303         2.130000e+00         9.425800e-01   
  304         2.140000e+00         9.478861e-01   
  305         2.150000e+00         9.531849e-01   
  306         2.160000e+00         9.584765e-01   
  307         2.170000e+00         9.637607e-01   
  308         2.180000e+00         9.690375e-01   
  309         2.190000e+00         9.743070e-01   
  310         2.200000e+00         9.795691e-01   
  311         2.210000e+00         9.848238e-01   
  312         2.220000e+00         9.900711e-01   
  313         2.230000e+00         9.953110e-01   
  314         2.240000e+00         1.000543e+00   
  315         2.250000e+00         1.005768e+00   
  316         2.260000e+00         1.010986e+00   
  317         2.270000e+00         1.016196e+00   
  318         2.280000e+00         1.021399e+00   
  319         2.290000e+00         1.026594e+00   
  320         2.300000e+00         1.031782e+00   
  321         2.310000e+00         1.036962e+00   
  322         2.320000e+00         1.042135e+00   
  323         2.330000e+00         1.047301e+00   
  324         2.340000e+00         1.052459e+00   
  325         2.350000e+00         1.057609e+00   
  326         2.360000e+00         1.062752e+00   
  327         2.370000e+00         1.067888e+00   
  328         2.380000e+00         1.073017e+00   
  329         2.390000e+00         1.078138e+00   
  330         2.400000e+00         1.083252e+00   
  331         2.410000e+00         1.088358e+00   
  332         2.420000e+00         1.093457e+00   
  333         2.430000e+00         1.098549e+00   
  334         2.440000e+00         1.103633e+00   
  335         2.450000e+00         1.108711e+00   
  336         2.460000e+00         1.113781e+00   
  337         2.470000e+00         1.118843e+00   
  338         2.480000e+00         1.123899e+00   
  339         2.490000e+00         1.128948e+00   
  340         2.500000e+00         1.133989e+00   
  341         2.510000e+00         1.139023e+00   
  342         2.520000e+00         1.144051e+00   
  343         2.530000e+00         1.149071e+00   
  344         2.540000e+00         1.154084e+00   
  345         2.550000e+00         1.159090e+00   
  346         2.560000e+00         1.164090e+00   
  347         2.570000e+00         1.169082e+00   
  348         2.580000e+00         1.174068e+00   
  349         2.590000e+00         1.179046e+00   
  350         2.600000e+00         1.184018e+00   
  351         2.610000e+00         1.188984e+00   
  352         2.620000e+00         1.193942e+00   
  353         2.630000e+00         1.198894e+00   
  354         2.640000e+00         1.203839e+00   
  355         2.650000e+00         1.208778e+00   
  356         2.660000e+00         1.213710e+00   
  357         2.670000e+00         1.218635e+00   
  358         2.680000e+00         1.223555e+00   
  359         2.690000e+00         1.228467e+00   
  360         2.700000e+00         1.233374e+00   
  361         2.710000e+00         1.238274e+00   
  362         2.720000e+00         1.243167e+00   
  363         2.730000e+00         1.248055e+00   
  364         2.740000e+00         1.252936e+00   
  365         2.750000e+00         1.257812e+00   
  366         2.760000e+00         1.262681e+00   
  367         2.770000e+00         1.267544e+00   
  368         2.780000e+00         1.272401e+00   
  369         2.790000e+00         1.277252e+00   
